	id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SOD1_N	SOD1_N	557.615019927387	-1.39405983381149	0.0387218417016034	-36.001898994225	7.81205250855408e-284	6.01528043158664e-282
pERK_N	pERK_N	474.33129948978	0.768713767412386	0.0315160117634478	24.3912133674204	2.11978409504545e-131	8.16116876592498e-130
GSK3B_N	GSK3B_N	1164.49183238283	0.274038229700302	0.0146251272599749	18.7374936866547	2.44894251495881e-78	6.28561912172761e-77
pPKCAB_N	pPKCAB_N	1668.97796107406	0.564144852164112	0.0308270469449573	18.3003209218	8.22628999711782e-75	1.58356082444518e-73
CaNA_N	CaNA_N	1430.58607324446	0.46399377899466	0.025915988240786	17.9037656092326	1.10211600303525e-71	1.69725864467429e-70
DYRK1A_N	DYRK1A_N	376.269851309798	0.524785244255464	0.0319176676604125	16.4418418613449	9.59577099022566e-61	1.23145727707896e-59
P38_N	P38_N	392.062567788916	-0.385895351861306	0.0262467531973118	-14.7025938393336	6.20371137800615e-49	6.82408251580676e-48
ITSN1_N	ITSN1_N	592.653419134346	0.394088826904376	0.0273913401703519	14.387351055241	6.21303429553235e-47	5.98004550944989e-46
BRAF_N	BRAF_N	315.50543105826	0.343441329666036	0.0262374050942045	13.0897597697989	3.76797659406893e-39	3.22371330825898e-38
pMEK_N	pMEK_N	261.001647975086	-0.212853021826688	0.0172979477436842	-12.305102604117	8.50283075782318e-35	6.54717968352385e-34
pNUMB_N	pNUMB_N	347.391489276679	0.257931930930723	0.0220002523211282	11.7240442139391	9.59782072801637e-32	6.71847450961146e-31
pAKT_N	pAKT_N	219.339123112682	-0.221875612188242	0.0195419218831766	-11.3538276078799	7.09857059227901e-30	4.5549161300457e-29
pCAMKII_N	pCAMKII_N	3075.38988911538	-0.450811203635126	0.0409947697435789	-10.9967980416755	3.95942419334624e-28	2.34519740682816e-27
NUMB_N	NUMB_N	195.346528287567	0.24300843612184	0.0222717775390334	10.9110481054305	1.02072651197086e-27	5.61399581583972e-27
pGSK3B_N	pGSK3B_N	165.776820552949	0.181914497971016	0.0169321388382422	10.7437400383318	6.34219266420503e-27	3.25565890095858e-26
pBRAF_N	pBRAF_N	171.680475183442	-0.164183379204705	0.015833107723833	-10.3696243383455	3.4086210138604e-25	1.64039886292032e-24
ARC_N	ARC_N	119.951328266101	-0.159809644368477	0.0162473807962203	-9.83602504138111	7.87614055077057e-23	3.36923790227408e-22
pS6_N	pS6_N	119.951328266101	-0.159809644368477	0.0162473807962203	-9.83602504138111	7.87614055077057e-23	3.36923790227408e-22
AKT_N	AKT_N	696.849070990024	-0.221163645222171	0.0232098343457943	-9.52887650670572	1.58994543433311e-21	6.44346307598156e-21
Ubiquitin_N	Ubiquitin_N	1202.16702916028	-0.14116353865316	0.0153114427449446	-9.21947990170737	2.98544751279039e-20	1.1493972924243e-19
pP70S6_N	pP70S6_N	374.724113185334	-0.496309899207488	0.0542986434703322	-9.14037381944287	6.22368206001901e-20	2.2820167553403e-19
nNOS_N	nNOS_N	180.700540332861	-0.205348493647591	0.0230199337659229	-8.92046413928325	4.64338072414115e-19	1.6251832534494e-18
CREB_N	CREB_N	170.735684024588	-0.130526183069796	0.0154783267044688	-8.43283551006267	3.37388780126438e-17	1.12951895955373e-16
CDK5_N	CDK5_N	305.148431991678	0.168066803673036	0.0222410921554796	7.55658950999982	4.13775188154479e-14	1.32752872866229e-13
PKCA_N	PKCA_N	318.05916542416	0.143259949646548	0.0190330656839917	7.52689829505714	5.1959810423183e-14	1.60036216103404e-13
ADARB1_N	ADARB1_N	1242.54930215769	0.31632283503726	0.0422207577507444	7.49211648224583	6.77717330187036e-14	2.00708593940007e-13
GFAP_N	GFAP_N	121.539683259507	0.14003408558911	0.0192694070254859	7.26717150163984	3.67092633643451e-13	1.04689380705725e-12
NR2B_N	NR2B_N	540.142436733082	-0.200466980010439	0.0280635824656362	-7.14331394631855	9.11072132897398e-13	2.50544836546784e-12
MTOR_N	MTOR_N	440.1474220023	-0.167646245525627	0.0239029031585552	-7.0136353067064	2.32204185606042e-12	6.16542147988456e-12
S6_N	S6_N	457.889868576408	0.348930694502691	0.0499347654106643	6.98773072493843	2.79367914332448e-12	7.17044313453284e-12
IL1B_N	IL1B_N	516.905556101963	-0.167226351545736	0.0245965969435638	-6.79875967921221	1.0552367113953e-11	2.62107183153026e-11
pCREB_N	pCREB_N	210.792512068937	-0.118986329368521	0.0175731310608498	-6.77092368778855	1.27962761231452e-11	3.07910394213182e-11
ERK_N	ERK_N	2595.77502126481	0.205392003702916	0.0326754566054626	6.28581893079281	3.26129887351403e-10	7.60969737153275e-10
RSK_N	RSK_N	159.517073035319	-0.120654456010749	0.0194493592438282	-6.20351830094535	5.52146160575377e-10	1.25044865777365e-09
CAMKII_N	CAMKII_N	350.211387078674	-0.0848425682249108	0.0151683971271454	-5.59337730372818	2.22694617407651e-08	4.89928158296833e-08
SNCA_N	SNCA_N	157.467638612852	-0.124297933075238	0.0229706860427145	-5.41115458389459	6.2619685976327e-08	1.33936550560477e-07
