	id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
pCAMKII_N	pCAMKII_N	4164.74036276832	0.424696102908723	0.0398125074099403	10.6674040530963	1.44610110674402e-26	1.11349785219289e-24
Ubiquitin_N	Ubiquitin_N	1332.22856955136	0.120874308648224	0.0131102870957581	9.21980638298401	2.97637165074705e-20	1.14590308553761e-18
pPKCAB_N	pPKCAB_N	1268.83761049289	-0.244843470273867	0.0281269672682214	-8.70493672279052	3.17751985976532e-18	8.15563430673099e-17
CaNA_N	CaNA_N	1145.87041870661	-0.212070869701597	0.0248401117701668	-8.53743621058483	1.37232686981542e-17	2.64172922439468e-16
pMTOR_N	pMTOR_N	809.657525728673	0.149114142618447	0.0179155517469313	8.32316775529887	8.56431025433857e-17	1.31890377916814e-15
pNR2A_N	pNR2A_N	805.257756206296	0.253658115429745	0.032143845574395	7.89134314507169	2.98951404851028e-15	3.83654302892152e-14
BDNF_N	BDNF_N	308.652302977948	-0.122948802973652	0.0160960289568742	-7.63845562797299	2.19842691293449e-14	2.41826960422794e-13
pJNK_N	pJNK_N	324.727659284352	0.0948949872901409	0.0138845305647916	6.83458377273308	8.22434648802343e-12	7.91593349472256e-11
DSCR1_N	DSCR1_N	586.896661833654	0.104200445451376	0.0155365540677725	6.70679257426322	1.98948742001147e-11	1.7021170148987e-10
pGSK3B_N	pGSK3B_N	152.261957770125	-0.118462208108135	0.0179907347819431	-6.58462311539566	4.56040704747296e-11	3.51151342655418e-10
pCREB_N	pCREB_N	215.597015237485	-0.112482706494324	0.0183999850815031	-6.11319552684851	9.7655597239162e-10	6.83589180674134e-09
MEK_N	MEK_N	275.160712138274	-0.0856706025641012	0.0145723077885315	-5.87900034828556	4.12751503611034e-09	2.64848881483747e-08
pP70S6_N	pP70S6_N	418.04411144958	-0.218533950879115	0.0373459107844691	-5.8516165836822	4.86817857515663e-09	2.88345961759277e-08
AKT_N	AKT_N	737.239420413985	-0.113437606879336	0.0204820870188674	-5.53838125845482	3.05280117551935e-08	1.67904064653564e-07
H3AcK18_N	H3AcK18_N	177.651531199164	0.318059645549827	0.0578307933556119	5.49983195966241	3.80153367451679e-08	1.95145395291862e-07
pPKCG_N	pPKCG_N	1712.36006941146	-0.237917652369611	0.0434711319639546	-5.47300338456537	4.42471658535524e-08	2.12939485670221e-07
P70S6_N	P70S6_N	979.991168580211	0.146460735764069	0.0269126897579379	5.44206978497459	5.26650348927345e-08	2.38541628631797e-07
IL1B_N	IL1B_N	580.616519818303	0.13328739324581	0.0272308319904249	4.89472349918202	9.84440405077841e-07	4.21121728838854e-06
SOD1_N	SOD1_N	768.610253550788	-0.239848492386271	0.0500932085815486	-4.78804411172451	1.68414635113242e-06	6.82522468616823e-06
PKCA_N	PKCA_N	299.76915096367	-0.0777914117633773	0.0165801857661235	-4.69182992643665	2.70772179933175e-06	1.04247289274272e-05
CDK5_N	CDK5_N	284.866357247297	-0.0790475640568305	0.0169672626081613	-4.65882834976623	3.18014235230386e-06	1.16605219584475e-05
pCASP9_N	pCASP9_N	1641.04866263599	0.114795759733747	0.0251472698721189	4.56493926845805	4.99638962318028e-06	1.7487363681131e-05
pRSK_N	pRSK_N	452.468937850161	-0.0664678485225784	0.0149967717527486	-4.43214377190187	9.33007686272085e-06	3.12354747143263e-05
SNCA_N	SNCA_N	172.574590370577	0.103863567093609	0.0252339782814721	4.1160203094044	3.85470354387415e-05	0.000123671738699296
PSD95_N	PSD95_N	2330.87779134592	0.0713993918366018	0.0175248081906331	4.07418963220176	4.61748466027381e-05	0.000142218527536433
P3525_N	P3525_N	295.93850318814	-0.0682187215709462	0.0167905590933165	-4.06292138289194	4.84623550833531e-05	0.000143523128516084
pNUMB_N	pNUMB_N	328.301994986843	0.0700583150794611	0.0173555530778729	4.03665125306668	5.4219574714746e-05	0.000150953537228736
NUMB_N	NUMB_N	176.575592980915	-0.0960318891113393	0.0238481588667438	-4.02680515707464	5.65398467061834e-05	0.000150953537228736
BRAF_N	BRAF_N	273.002621261708	-0.109304197727698	0.0271529005385761	-4.02550724083454	5.68526309043293e-05	0.000150953537228736
ARC_N	ARC_N	131.47966489463	0.065240641302808	0.0163115993713879	3.99964711107645	6.34370047681001e-05	0.000157569334423991
pS6_N	pS6_N	131.47966489463	0.065240641302808	0.0163115993713879	3.99964711107645	6.34370047681001e-05	0.000157569334423991
GluR3_N	GluR3_N	223.685303955805	0.122491414563425	0.0309766963819635	3.95430852447994	7.67563122397378e-05	0.000182549326703058
ELK_N	ELK_N	1177.04779609178	-0.131918993593982	0.0333993937862228	-3.9497421551525	7.8235425729882e-05	0.000182549326703058
JNK_N	JNK_N	235.175931608092	-0.0527249355506182	0.0137167823818683	-3.84382678698128	0.000121130516620452	0.000266487136564994
ERK_N	ERK_N	2355.19978968146	-0.1272579928647	0.0330596743755734	-3.84934199348093	0.000118435552822565	0.000266487136564994
EGR1_N	EGR1_N	197.145903230067	0.141003499968532	0.0367622767811663	3.83554861979522	0.000125284318070919	0.00026796923587391
BCL2_N	BCL2_N	138.975340570692	0.128808207111484	0.0337780630467311	3.81336866277031	0.000137085389345647	0.00028528581025986
TRKA_N	TRKA_N	669.314034041279	-0.0780210646803182	0.0211299773286219	-3.69243485058707	0.000222117251930543	0.000450079694701363
